Question,Answer,Category
What is KYC?,KYC stands for Know Your Customer. It is used to verify the identity and address of customers.,KYC
Why is KYC required?,"KYC helps banks prevent fraud, money laundering, and identity theft.",KYC
What documents are accepted for KYC?,"Aadhaar Card, PAN Card, Passport, Driving License, and Voter ID are commonly accepted.",KYC
How can I update my KYC?,You can update your KYC by visiting the branch or through online banking if the bank provides that facility.,KYC
How can I open a savings account?,Visit the nearest branch or apply online with valid identity and address proof.,Savings Account
What documents are required for a savings account?,"Aadhaar Card, PAN Card, passport-size photographs, and address proof are generally required.",Savings Account
What is the minimum balance for a savings account?,The minimum balance depends on the type of account and the bank's policy.,Savings Account
Can I open a joint savings account?,"Yes, most banks allow customers to open joint savings accounts.",Savings Account
What is a current account?,A current account is designed for businesses and allows frequent transactions.,Current Account
Who can open a current account?,"Individuals, businesses, firms, and organizations can open a current account.",Current Account
What is a fixed deposit?,A fixed deposit is an investment where money is deposited for a fixed period at a fixed interest rate.,Fixed Deposit
Can I withdraw a fixed deposit before maturity?,"Yes, premature withdrawal is allowed, but penalty charges may apply.",Fixed Deposit
What is a recurring deposit?,A recurring deposit allows customers to deposit a fixed amount every month for a specific period.,Recurring Deposit
How do I apply for a home loan?,"Apply online or visit the bank with identity proof, income proof, and property documents.",Loan
What documents are required for a home loan?,"Aadhaar Card, PAN Card, income proof, bank statements, and property documents are generally required.",Loan
What is a personal loan?,A personal loan is an unsecured loan that can be used for personal expenses.,Loan
How long does loan approval take?,Loan approval depends on document verification and the bank's internal process.,Loan
Can I prepay my loan?,"Yes, many banks allow loan prepayment subject to their policies.",Loan
What is EMI?,"EMI stands for Equated Monthly Installment, the fixed monthly payment made toward a loan.",Loan
How is EMI calculated?,"EMI is calculated based on the loan amount, interest rate, and repayment tenure.",Loan
What is a debit card?,A debit card allows customers to withdraw cash and make purchases directly from their bank account.,Debit Card
How can I block my debit card?,"Use mobile banking, internet banking, customer care, or visit a branch.",Debit Card
What should I do if my debit card is lost?,Immediately block the card and report it to the bank.,Debit Card
What is a credit card?,A credit card allows customers to borrow money up to a predefined credit limit.,Credit Card
How do I apply for a credit card?,Apply online or visit the nearest branch with the required documents.,Credit Card
What is the credit limit?,The credit limit is the maximum amount that can be spent using a credit card.,Credit Card
What is internet banking?,Internet banking allows customers to access banking services online.,Internet Banking
How do I register for internet banking?,Register through the bank's website or by visiting the branch.,Internet Banking
What services are available in internet banking?,"Fund transfer, bill payment, balance inquiry, statement download, and more.",Internet Banking
What is mobile banking?,Mobile banking allows customers to access banking services through a mobile application.,Mobile Banking
How do I activate mobile banking?,Download the bank's app and register using your account details and mobile number.,Mobile Banking
What is UPI?,UPI is a real-time payment system that enables instant money transfers between bank accounts.,UPI
How do I create a UPI ID?,Create a UPI ID through a UPI-enabled application linked to your bank account.,UPI
What is NEFT?,NEFT is an electronic fund transfer system operated by the Reserve Bank of India.,NEFT
What is RTGS?,RTGS enables real-time transfer of high-value funds between bank accounts.,RTGS
What is IMPS?,IMPS is an instant payment service available 24x7 for transferring funds.,IMPS
What is a cheque book?,A cheque book contains printed cheques that can be used to make payments.,Cheque
How can I apply for a cheque book?,"Request it through internet banking, mobile banking, or by visiting a branch.",Cheque
How do I check my account balance?,"Check your balance through ATM, mobile banking, internet banking, SMS, or passbook.",Account
What is a bank statement?,A bank statement is a record of all transactions in your account during a specific period.,Account
How can I download my bank statement?,Download it using internet banking or mobile banking.,Account
What should I do if I forget my internet banking password?,Use the 'Forgot Password' option or contact the bank for assistance.,Internet Banking
What should I do if an ATM transaction fails?,Contact your bank and keep the transaction receipt for reference.,ATM
How can I find the nearest ATM?,Use the bank's website or mobile application to locate nearby ATMs.,ATM
What are banking hours?,Banking hours vary by branch and bank but are usually displayed on the official website.,General
What is customer care?,Customer care provides assistance for banking services and complaints.,General
